Environment|Timestamp|iFlow_ID|iFlow_Name|iFlow_Version|Parameter_Key|Parameter_Value|Saved_At
development|2025-06-22T01:59:59.194Z|Test_IF|SRC_TAR_ENT_INB|1.0.5|JDBC_SRC_ALIAS|test_jdbc_alias|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|Test_IF|SRC_TAR_ENT_INB|1.0.5|JDBC_CONN_TIMEOUT|3|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|Test_IF|SRC_TAR_ENT_INB|1.0.5|QUERY_RESP_TIMEOUT|3|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|Test_IF|SRC_TAR_ENT_INB|1.0.5|MAX_REC_COUNT|100000|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|Test_IF|SRC_TAR_ENT_INB|1.0.5|BATCH_MODE|true|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|Test_IF|SRC_TAR_ENT_INB|1.0.5|SAP_ProfileId|iflmap|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|SFSF_EC_Logon_Credentials_Name|ba_camelotitlP|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|USE_EXTERNAL_COST_CENTER_ID|FALSE|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|SAP_ERP_Private_Key_Alias|sap_cloudintegrationcertificate|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|ENABLE_PAYLOAD_LOGGING|TRUE|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|ENABLE_TIME_DEPENDENT_EMPLOYEE_SELECTION|FALSE|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|SFSF_EC_Query_Page_Size|400|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|ENABLE_ASSOCIATED_EMPLOYEE_INFORMATION|FALSE|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|MATCHING_EMPLOYMENTS_ONLY|FALSE|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|FULL_TRANSMISSION_START_DATE|2000-01-01|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|ENABLE_NOTIFICATION|TRUE|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|SAP_ERP_enableBasicAuthentication_13|0|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|COMPANIES|1030,1040,1050|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|SAP_ERP_URL|https://my300424-api.s4hana.ondemand.com/sap/bc/srt/scs_ext/sap/employeeorgassignmreplrequest|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|SFSF_EC_Base_URL|https://api012.successfactors.eu|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|SAP_ERP_TIMEOUT|60000|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|CONTINGENT_WORKERS|1|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|TimerEventDefinition_2_scheduleKey_3|0 0/20 1-22 ? * * * --tz=Europe/Berlin|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|REPLICATION_TARGET_SYSTEM|0M21EOR|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|INITIATE_FULL_LOAD|TRUE|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|SAP_ERP_allowChunking_10|1|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|SAP_ERP_proxyType_35|default|2025-06-22T03:59:59.517212
development|2025-06-22T01:59:59.194Z|SF_EC_ORG_copy|SF_EC_ORG|8.1.3|SAP_ProfileId|iflmap|2025-06-22T03:59:59.517212
